co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,city
1321.79,4.92,47.3,131.61,44.82,78.01,98.02,17.23,2023-03-28 11:00:00 UTC,Delhi
1762.39,5.14,73.34,94.41,52.93,93.59,120.33,21.79,2023-03-28 12:00:00 UTC,Delhi
2296.45,1.82,100.08,43.63,61.99,116.88,154.47,28.88,2023-03-28 13:00:00 UTC,Delhi
2777.1,0.98,105.56,12.34,68.66,147.63,200.92,36.98,2023-03-28 14:00:00 UTC,Delhi
2937.32,3.02,95.96,4.69,67.71,164.15,228.55,41.54,2023-03-28 15:00:00 UTC,Delhi
3124.24,5.53,90.48,2.57,67.71,184.37,256.19,45.6,2023-03-28 16:00:00 UTC,Delhi
3471.37,11.62,89.11,0.56,67.71,214.3,296.34,49.65,2023-03-28 17:00:00 UTC,Delhi
3337.86,14.08,84.31,0.3,57.7,207.43,289.46,43.57,2023-03-28 18:00:00 UTC,Delhi
3044.13,19.22,73.34,0.08,44.35,188.43,265.8,33.94,2023-03-28 19:00:00 UTC,Delhi
3231.05,29.5,62.38,0,42.44,207.63,288.72,32.17,2023-03-28 20:00:00 UTC,Delhi
3578.19,38.89,54.84,0,44.35,240.62,326.4,32.93,2023-03-28 21:00:00 UTC,Delhi
4005.43,50.96,50.72,0,50.07,282.34,373.78,35.46,2023-03-28 22:00:00 UTC,Delhi
1014.71,1.7,32.56,226.02,61.04,126.52,146.49,9.5,2023-03-29 08:00:00 UTC,Delhi
834.47,0.59,23.99,200.27,40.53,94.02,113.7,9.37,2023-03-29 09:00:00 UTC,Delhi
2056.12,5.42,85,87.26,52.93,124.91,164.73,21.79,2023-03-29 10:00:00 UTC,Delhi
2349.85,0,59.63,60.08,44.35,240.41,301.77,27.11,2023-03-29 22:00:00 UTC,Delhi
1762.39,0,41.13,55.79,35.29,190.85,239.05,24.07,2023-03-29 23:00:00 UTC,Delhi
1695.63,0.02,43.53,34.69,35.29,176.39,220.17,24.57,2023-03-30 00:00:00 UTC,Delhi
1949.31,2.51,53.47,11.62,39.58,172.63,221.06,28.63,2023-03-30 01:00:00 UTC,Delhi
2643.59,22.35,59.63,3.84,52.45,193.1,253.87,38.5,2023-03-30 02:00:00 UTC,Delhi
3097.53,37.1,69.92,14.84,64.85,210.62,276.64,43.06,2023-03-30 03:00:00 UTC,Delhi
2964.02,26.6,82.94,50.78,82.02,217.4,275.91,41.04,2023-03-30 04:00:00 UTC,Delhi
2910.61,15.42,87.74,127.32,106.81,254.95,311.02,39.01,2023-03-30 05:00:00 UTC,Delhi
1241.68,3.69,41.13,243.19,109.67,168.23,197.23,12.79,2023-03-30 07:00:00 UTC,Delhi
1041.41,2.43,42.5,246.05,109.67,152.75,179.54,9.37,2023-03-30 08:00:00 UTC,Delhi
1655.58,0.45,69.23,220.3,104.9,214.28,241.94,13.05,2023-03-30 10:00:00 UTC,Delhi
2590.18,0.36,104.19,154.5,90.6,265.28,300.45,20.77,2023-03-30 11:00:00 UTC,Delhi
