co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,city
1321.79,4.92,47.3,131.61,44.82,78.01,98.02,17.23,1680001200,Delhi
1762.39,5.14,73.34,94.41,52.93,93.59,120.33,21.79,1680004800,Delhi
2296.45,1.82,100.08,43.63,61.99,116.88,154.47,28.88,1680008400,Delhi
2777.1,0.98,105.56,12.34,68.66,147.63,200.92,36.98,1680012000,Delhi
2937.32,3.02,95.96,4.69,67.71,164.15,228.55,41.54,1680015600,Delhi
3124.24,5.53,90.48,2.57,67.71,184.37,256.19,45.6,1680019200,Delhi
3471.37,11.62,89.11,0.56,67.71,214.3,296.34,49.65,1680022800,Delhi
3337.86,14.08,84.31,0.3,57.7,207.43,289.46,43.57,1680026400,Delhi
3044.13,19.22,73.34,0.08,44.35,188.43,265.8,33.94,1680030000,Delhi
3231.05,29.5,62.38,0,42.44,207.63,288.72,32.17,1680033600,Delhi
3578.19,38.89,54.84,0,44.35,240.62,326.4,32.93,1680037200,Delhi
4005.43,50.96,50.72,0,50.07,282.34,373.78,35.46,1680040800,Delhi
4486.08,64.37,48.67,0,61.04,326.94,420.35,39.01,1680044400,Delhi
4913.33,77.78,50.04,0,78.2,368.06,464.35,44.58,1680048000,Delhi
5714.42,104.61,54.15,0,105.86,426.26,532.86,59.78,1680051600,Delhi
8010.86,178.81,61.69,0.37,129.7,574.54,711.9,83.09,1680055200,Delhi
10787.96,261.07,93.22,3.22,141.14,736.56,901.9,94.23,1680058800,Delhi
6355.29,82.25,164.51,40.41,150.68,490.48,581.23,55.22,1680062400,Delhi
6568.91,29.5,205.64,168.8,148.77,589.54,683.95,52.18,1680066000,Delhi
6675.72,10.17,167.25,417.71,144.96,755.86,852.08,42.05,1680069600,Delhi
1735.69,4.92,67.17,248.91,123.98,235.29,262.08,8.74,1680073200,Delhi
1014.71,1.7,32.56,226.02,61.04,126.52,146.49,9.5,1680076800,Delhi
834.47,0.59,23.99,200.27,40.53,94.02,113.7,9.37,1680080400,Delhi
2056.12,5.42,85,87.26,52.93,124.91,164.73,21.79,1680084000,Delhi
3845.21,40.23,130.24,22.35,75.34,189.76,251.93,33.94,1680087600,Delhi
5714.42,109.97,143.95,6.17,97.27,268.82,349.16,45.09,1680091200,Delhi
7797.24,171.66,163.14,0.69,129.7,394.13,497.86,64.85,1680094800,Delhi
9399.41,189.54,175.48,0,160.22,545.99,675.8,85.12,1680098400,Delhi
10360.72,173.45,186.44,0,177.38,676.43,824.64,96.26,1680102000,Delhi
10574.34,143.05,197.41,0,186.92,765.4,918.37,99.3,1680105600,Delhi
10574.34,116.23,200.15,0,192.64,814.72,970.26,98.29,1680109200,Delhi
10040.28,94.77,200.15,0,183.11,798.31,943.83,87.14,1680112800,Delhi
8651.73,67.95,197.41,0,150.68,720.28,845.9,63.84,1680116400,Delhi
7476.81,42.92,180.96,0,117.3,640.22,754.55,53.7,1680120000,Delhi
5714.42,16.09,146.69,1.4,81.06,505.32,610.21,49.65,1680123600,Delhi
2349.85,0,59.63,60.08,44.35,240.41,301.77,27.11,1680127200,Delhi
1762.39,0,41.13,55.79,35.29,190.85,239.05,24.07,1680130800,Delhi
1695.63,0.02,43.53,34.69,35.29,176.39,220.17,24.57,1680134400,Delhi
1949.31,2.51,53.47,11.62,39.58,172.63,221.06,28.63,1680138000,Delhi
2643.59,22.35,59.63,3.84,52.45,193.1,253.87,38.5,1680141600,Delhi
3097.53,37.1,69.92,14.84,64.85,210.62,276.64,43.06,1680145200,Delhi
2964.02,26.6,82.94,50.78,82.02,217.4,275.91,41.04,1680148800,Delhi
2910.61,15.42,87.74,127.32,106.81,254.95,311.02,39.01,1680152400,Delhi
2803.8,7.49,76.77,254.63,133.51,316.43,370.37,33.94,1680156000,Delhi
1241.68,3.69,41.13,243.19,109.67,168.23,197.23,12.79,1680159600,Delhi
1041.41,2.43,42.5,246.05,109.67,152.75,179.54,9.37,1680163200,Delhi
1081.47,1.2,50.72,248.91,120.16,170.86,196.02,7.85,1680166800,Delhi
1655.58,0.45,69.23,220.3,104.9,214.28,241.94,13.05,1680170400,Delhi
2590.18,0.36,104.19,154.5,90.6,265.28,300.45,20.77,1680174000,Delhi
3364.56,0.32,146.69,72.96,85.83,287.61,330.17,27.36,1680177600,Delhi
4058.84,3.32,175.48,13.59,91.55,304.6,355.83,34.45,1680181200,Delhi
3578.19,1.42,138.46,12.87,78.2,270.85,320.74,29.89,1680184800,Delhi
2429.96,0.01,82.94,52.93,57.7,203.18,238.93,18.24,1680188400,Delhi
1842.5,0,60.32,73.67,45.3,166.49,197.38,13.93,1680192000,Delhi
2296.45,0,76.77,45.78,49.11,189.49,231.58,15.07,1680195600,Delhi
2616.88,0.02,89.11,30.04,51.5,206.05,249.92,12.67,1680199200,Delhi
2510.07,0.02,83.63,28.61,48.16,193.31,226.72,7.98,1680202800,Delhi
2696.99,0.03,82.94,23.96,48.64,204.51,234.54,6.59,1680206400,Delhi
2990.72,0.11,86.37,15.91,52.45,242.43,271.85,5.51,1680210000,Delhi
2349.85,0.02,71.97,27.89,63.9,217.97,237.86,3.61,1680213600,Delhi
1602.17,0,54.84,47.21,59.6,152.71,165.48,3.7,1680217200,Delhi
1228.33,0,44.55,62.94,52.45,108.17,118.23,4.5,1680220800,Delhi
1201.63,0,46.61,67.95,52.45,93.13,105.58,6.84,1680224400,Delhi
1655.58,1.15,73.34,45.78,72.48,116.03,137.58,11.78,1680228000,Delhi
2162.93,15.65,95.96,33.26,110.63,152.7,181.65,16.72,1680231600,Delhi
1682.28,13.86,82.94,69.38,107.77,137.92,159.74,11.53,1680235200,Delhi
1562.12,9.72,81.57,84.4,104.9,137.58,158.37,10.64,1680238800,Delhi
1588.82,5.53,93.22,82.97,117.3,144.5,165.75,10.51,1680242400,Delhi
2349.85,7.26,130.24,43.99,137.33,184.97,218.27,21.28,1680246000,Delhi
3738.4,30.85,178.22,15.56,188.83,259.9,313.2,42.56,1680249600,Delhi
4699.71,55.88,208.38,10.46,244.14,313.3,376.72,56.24,1680253200,Delhi
4859.92,59.9,213.86,8.67,267.03,321.4,385.57,60.29,1680256800,Delhi
4005.43,41.57,186.44,7.33,234.6,264.33,315.64,47.62,1680260400,Delhi
2670.29,12.41,141.2,15.38,171.66,174.42,205.95,27.87,1680264000,Delhi
3311.16,29.95,115.16,3.26,102.04,177.74,221.31,32.42,1680267600,Delhi
5928.04,98.35,102.82,0,93.46,315.88,407.46,55.73,1680271200,Delhi
8758.54,168.09,108.3,0,127.79,518.07,661.91,84.1,1680274800,Delhi
10787.96,218.15,124.75,0,164.03,676.16,848.05,109.43,1680278400,Delhi
11749.27,239.61,128.87,0,148.77,756.1,933.6,95.25,1680282000,Delhi
10894.78,219.94,116.53,0,102.04,701.04,854.28,54.21,1680285600,Delhi
7156.37,125.17,102.82,0,57.7,452.34,551.53,21.53,1680289200,Delhi
4592.9,54.99,87.05,0,37.19,291.12,362.34,12.29,1680292800,Delhi
2990.72,20.56,68.55,0.03,28.85,202.54,255.55,9.63,1680296400,Delhi
2243.04,9.05,52.09,0.18,25.99,167.48,205.53,8.99,1680300000,Delhi
2056.12,9.16,41.81,0.13,25.75,162.3,194.3,9.63,1680303600,Delhi
